GROUP.ID,SAMPLING.EVENT.IDENTIFIER,GRID_CODE
G13040132,S195894064,GJ-KU-ANJ-003
G13040133,S195894065,GJ-KU-ANJ-017
G13040125,S195894066,GJ-KU-ANJ-018
G13035976,S195894067,GJ-KU-LAK-026
G13035189,S195894069,GJ-KU-ABD-043
G13035191,S195894070,GJ-KU-ABD-043
G13035193,S195894073,GJ-KU-NAK-056
G13035194,S195894074,GJ-KU-NAK-056
G13035195,S195894075,GJ-KU-NAK-056
G13035196,S195894076,GJ-KU-NAK-057
G13035197,S195894078,GJ-KU-NAK-057
G13035198,S195894079,GJ-KU-NAK-050
G13035199,S195894080,GJ-KU-ABD-043
G13035200,S195894081,GJ-KU-NAK-051
G13035404,S195894082,GJ-KU-ABD-021
G13035179,S195894083,GJ-KU-BHU-165
G13040329,S195894084,GJ-KU-MAN-046
G13046618,S195894085,GJ-KU-BHA-053
G13034649,S195894087,GJ-KU-ABD-004
G13034650,S195894088,GJ-KU-ABD-001
G13035201,S195894089,GJ-KU-NAK-057
G13035202,S195894090,GJ-KU-NAK-057
G13033579,S195894091,GJ-KU-RAP-064
G13033398,S195894093,GJ-KU-BHA-022
G13046617,S195894095,GJ-KU-BHA-063
G13046619,S195894096,GJ-KU-GAN-001
G13034651,S195894098,GJ-KU-ABD-001
G13034653,S195894100,GJ-KU-ABD-010
G13033232,S195894101,GJ-KU-ABD-085
G13035405,S195894103,GJ-KU-ABD-044
G13036017,S195894104,GJ-KU-LAK-024
G13035406,S195894105,GJ-KU-ABD-058
G13036024,S195894107,GJ-KU-LAK-015
G13033239,S195894110,GJ-KU-LAK-022
G13040331,S195894112,GJ-KU-MAN-040
G13033107,S195894113,GJ-KU-LAK-055
G13033108,S195894114,GJ-KU-LAK-045
G13040779,S195894115,GJ-KU-BHU-152
G13040780,S195894116,GJ-KU-MAN-008
G13040781,S195894117,GJ-KU-BHU-161
G13040690,S195894119,GJ-KU-MUN-026
G13032924,S195894120,GJ-KU-NAK-051
G13034654,S195894121,GJ-KU-LAK-074
G13034648,S195894122,GJ-KU-LAK-074
G13032840,S195894124,GJ-KU-ABD-054
G13032841,S195894125,GJ-KU-ABD-043
G13032816,S195894126,GJ-KU-NAK-043
